id, background, body, feathers, beak, beak color, eyes, eye color, eyewear, headwear, outerwear
90, Gray, Stark, White, Short, Gray, Relaxed, Blue, , Skully, 
91, Yellow, Tabby, Purple, Small, Orange, , , Gazelles, , 
92, Gray, Emperor, White, Small, Orange, Fire, Epic, , Headband, 
93, Pink, Guardian, Brown, Short, Orange, Discerning, Purple, , Flower, 
94, Blue, Robot, Metal, Short, Robot, Open, Robot, , Crescent Talisman, Hoodie Down
95, Blue, Crescent, Purple, Short, Gray, Open, Purple, , Space Helmet, 
96, Gray, Tranquil, White, Small, Gray, Side-eye, Red, , Rubber Duck, 
97, Purple, Crescent, Black, Short, Orange, Side-eye, Gray, , Fire, 
98, Pink, Brave, Gray, Small, Orange, Discerning, Red, Eyepatch, Raincloud, 
99, Yellow, Emperor, Blue, Short, Orange, Side-eye, Purple, , , 
100, Purple, Tranquil, Brown, Short, Orange, Open, Blue, , Skully, 
101, Purple, Brave, Black, Long, Gray, Discerning, Blue, , , 
102, Green, Crescent, White, Small, Gray, Open, Purple, , Karate Band, 
103, Yellow, Crescent, Green, Short, Gray, Discerning, Purple, , Moon Hat, 
104, Yellow, Tranquil, Red, Small, Orange, , , Gazelles, Grail, Gold Chain
105, Green, Guardian, Black, Short, Orange, Open, Red, , Crescent Talisman, 
106, Purple, Crescent, Red, Small, Gray, Relaxed, Purple, , Cowboy Hat, Hoodie Down
107, Green, Brave, Green, Small, Gray, Angry, Yellow, , , 
108, Green, Robot, Metal, Long, Robot, Angry, Robot, , Forest Ranger, Hoodie Down
109, Gray, Stark, Gray, Long, Gray, Angry, Blue, , Backwards Hat, 
110, Yellow, Crescent, Blue, Short, Orange, Open, Purple, , , Gold Chain
111, Blue, Crescent, Black, Small, Orange, Relaxed, White, , Moon Hat, 
112, Purple, Stark, Black, Long, Orange, Fire, Epic, , Diamond, 
113, Blue, Crescent, Purple, Short, Orange, Heart, Epic, , Backwards Hat, 
114, Purple, Professor, Brown, Small, Orange, , , Jobs Glasses, , 
115, Pink, Crescent, Blue, Long, Gray, Open, Yellow, , Bucket Hat, 
116, Blue, Emperor, Black, Long, Gray, Discerning, Green, , , 
117, Yellow, Professor, Gray, Small, Orange, Discerning, Red, , Bandana, 
118, Green, Stark, Green, Short, Orange, Side-eye, White, , Headband, 
119, Gray, Stark, Purple, Short, Orange, Discerning, Purple, , Tiny Crown, Punk Jacket
120, Gray, Stark, Purple, Small, Gray, Angry, Purple, , Queen's Crown, 
121, Gray, Crescent, Red, Short, Gray, Angry, Blue, , Durag, 
122, Pink, Tranquil, Purple, Short, Gray, Discerning, Green, , Crescent Talisman, 
123, Pink, Guardian, Gray, Long, Gray, , , Visor, , 
124, Blue, Stark, White, Small, Orange, Relaxed, Blue, , , 
125, Purple, Stark, Red, Small, Gray, Side-eye, Yellow, , Pirate's Hat, 
126, Yellow, Professor, Blue, Small, Gray, Angry, White, , Headband, 
127, Gray, Crescent, Blue, Short, Gray, Open, Green, , Hero's Cap, Hero's Tunic
128, Blue, Sage, Red, Small, Orange, Open, Blue, , , 
129, Yellow, Professor, Blue, Small, Gray, Angry, Green, , , 
130, Green, Sage, Pink, Small, Orange, Open, Blue, , , 
131, Purple, Crescent, Red, Small, Gray, Angry, White, , , Hoodie
132, Green, Crescent, Black, Small, Gray, Open, Green, , Wizard's Hat, Gold Chain
133, Blue, Crescent, Gray, Short, Gray, Side-eye, Red, , Cowboy Hat, 
134, Blue, Stark, Black, Small, Gray, , , Visor, Backwards Hat, 
135, Blue, Tranquil, Red, Long, Orange, Open, Red, , Queen's Crown, Bomber Jacket
136, Green, Brave, Gray, Short, Gray, Angry, Blue, , Tiara, 
137, Blue, Stark, Purple, Long, Orange, Open, Blue, , Aviator's Cap, 
138, Green, Stark, Pink, Short, Orange, Side-eye, Red, , Queen's Crown, 
139, Pink, Crescent, White, Small, Gray, Open, Green, Half-moon Spectacles, Fire, 
140, Pink, Tranquil, Red, Short, Orange, Discerning, Red, , Headband, 
141, Gray, Crescent, Blue, Short, Gray, Relaxed, Yellow, , Bandana, 
142, Green, Guardian, Pink, Short, Orange, Fire, Epic, , , 
143, Yellow, Stark, Purple, Small, Gray, Angry, Gray, , Fire, 
144, Green, Emperor, Black, Small, Orange, Side-eye, Purple, , , 
145, Gray, Brave, Gray, Small, Gray, , , Sunglasses, , 
146, Yellow, Crescent, Blue, Long, Orange, Open, Blue, , Hero's Cap, Hero's Tunic
147, Blue, Skeleton, Bone, Short, Skeleton, , , Sunglasses, Mohawk (Green), 
148, Pink, Tabby, White, Short, Gray, Relaxed, Purple, , , 
149, Purple, Tabby, White, Short, Gray, Relaxed, Red, , , Diamond Necklace
150, Pink, Crescent, Gray, Short, Gray, Relaxed, Red, , , 
151, Gray, Crescent, Blue, Short, Gray, Angry, Red, , Tiara, 
152, Green, Crescent, White, Short, Orange, Side-eye, Yellow, , Wizard's Hat, 
153, Pink, Tranquil, Gray, Small, Orange, Relaxed, Blue, , Karate Band, Gold Chain
154, Pink, Tabby, White, Small, Orange, Angry, Gray, , , Diamond Necklace
155, Purple, Professor, Blue, Short, Gray, Discerning, Green, , Crescent Talisman, 
156, Pink, Tabby, Brown, Small, Gray, Side-eye, Green, , , 
157, Gray, Tabby, Black, Short, Gray, Open, Yellow, , Fire, 
158, Pink, Sage, Blue, Short, Gray, Open, Green, , Captain's Cap, 
159, Gray, Crescent, Pink, Small, Orange, Side-eye, Red, , Raincloud, 
160, Purple, Stark, Black, Short, Orange, , , 3D Glasses, Backwards Hat, Hoodie Down
161, Yellow, Crescent, Brown, Small, Gray, Open, Red, , , Hoodie
162, Green, Tabby, Blue, Long, Gray, Discerning, White, , Fire, 
163, Yellow, Stark, Red, Small, Orange, Moon, Epic, , Backwards Hat, Bomber Jacket
164, Blue, Stark, Red, Short, Gray, Angry, Yellow, , Queen's Crown, Bomber Jacket
165, Pink, Brave, Red, Small, Gray, Open, Gray, , Karate Band, 
166, Blue, Brave, Black, Long, Gray, Open, White, , Flower, Bomber Jacket
167, Yellow, Brave, Brown, Short, Orange, Open, Gray, , Raincloud, 
168, Gray, Tabby, Blue, Short, Gray, Discerning, Purple, , Raincloud, 
169, Purple, Tranquil, Black, Long, Gray, Side-eye, Yellow, , Bow, 
170, Yellow, Crescent, Purple, Small, Gray, Rainbow, Epic, , Mohawk (Pink), 
171, Pink, Tranquil, Blue, Small, Gray, Open, Blue, , Headband, 
172, Yellow, Crescent, Brown, Small, Orange, Open, Yellow, , Pirate's Hat, Diamond Necklace
173, Blue, Crescent, Purple, Long, Gray, Angry, Red, , Hero's Cap, Hero's Tunic
174, Yellow, Crescent, Red, Short, Gray, Relaxed, Yellow, , Tiara, 
175, Purple, Crescent, Purple, Short, Orange, Relaxed, Gray, , Hero's Cap, Hero's Tunic
176, Yellow, Crescent, Brown, Long, Gray, Angry, Gray, , Aviator's Cap, 
177, Purple, Tabby, Purple, Short, Gray, Relaxed, Yellow, , , 
178, Blue, Tabby, Purple, Small, Orange, , , Visor, , 
179, Gray, Professor, Blue, Long, Gray, Angry, Yellow, , , 
180, Green, Crescent, Red, Short, Orange, Relaxed, Yellow, , Mohawk (Green), Bomber Jacket
181, Gray, Professor, White, Small, Gray, Relaxed, Blue, , , 
182, Yellow, Stark, Red, Small, Gray, Side-eye, Blue, , Lincoln, Gold Chain
183, Yellow, Professor, Red, Small, Orange, Relaxed, Red, , Skully, 
184, Green, Tranquil, Red, Small, Orange, Open, Red, , Space Helmet, 
185, Blue, Professor, Black, Small, Gray, Discerning, Yellow, Monocle, , 
186, Pink, Professor, Brown, Short, Orange, Relaxed, Blue, , , Diamond Necklace
187, Blue, Crescent, Brown, Long, Orange, Discerning, Yellow, , Bandana, 
188, Pink, Crescent, Brown, Short, Orange, Open, Blue, Eyepatch, Beanie, 
189, Yellow, Robot, Metal, Long, Robot, Open, Robot, , Tiny Crown, Hoodie Down
190, Blue, Guardian, White, Short, Gray, Open, Gray, , , 
191, Purple, Tranquil, Red, Small, Gray, Adorable, Epic, , Skully, Bomber Jacket
192, Blue, Crescent, Brown, Small, Orange, Open, Green, , , Hoodie
193, Blue, Tabby, Brown, Long, Gray, Angry, Yellow, , Raincloud, 
194, Gray, Stark, Black, Short, Gray, Side-eye, White, , Lincoln, 
195, Green, Crescent, Blue, Short, Orange, , , Sunglasses, Bandana, 
196, Purple, Crescent, Red, Long, Gray, Side-eye, Yellow, , Raincloud, 
197, Blue, Stark, Black, Small, Gray, Discerning, White, , , 
198, Yellow, Guardian, Red, Short, Orange, Angry, Red, , Headband, 
199, Purple, Brave, Brown, Small, Gray, Side-eye, Yellow, , , 
200, Blue, Crescent, Blue, Small, Orange, Side-eye, Green, , Karate Band, 
201, Yellow, Stark, Black, Small, Orange, Open, White, , , 
202, Yellow, Stark, Purple, Small, Orange, Relaxed, Yellow, , Cowboy Hat, 
203, Green, Guardian, Brown, Small, Orange, Angry, Green, , Headphones, 
204, Blue, Tranquil, Purple, Small, Gray, Side-eye, Green, , , Gold Chain
205, Blue, Guardian, Purple, Long, Gray, Open, Purple, , , 
206, Yellow, Crescent, Blue, Small, Orange, Open, Blue, , Beanie, 
207, Green, Brave, Gray, Long, Gray, Open, Yellow, , Karate Band, 
208, Purple, Stark, Gray, Short, Orange, Adorable, Epic, , Mohawk (Green), 
209, Green, Tranquil, Purple, Small, Orange, Open, Blue, , Crescent Talisman, 
210, Pink, Brave, Black, Small, Gray, Discerning, Blue, , Grail, 
211, Purple, Emperor, Gray, Long, Orange, Open, White, , Karate Band, 
212, Pink, Crescent, Brown, Small, Orange, Discerning, Green, , Forest Ranger, 
213, Pink, Professor, Purple, Long, Gray, Angry, Blue, , , 
214, Gray, Sage, Brown, Small, Gray, Angry, Red, , Crescent Talisman, 
215, Green, Guardian, Blue, Small, Gray, Relaxed, Yellow, Eyepatch, Space Helmet, 
216, Purple, Tranquil, Blue, Short, Orange, Discerning, White, , Halo, 
217, Pink, Tranquil, White, Short, Gray, Open, Gray, , Raincloud, 
218, Blue, Guardian, Brown, Small, Orange, , , Sunglasses, , 
219, Blue, Crescent, Purple, Long, Gray, Adorable, Epic, , Crescent Talisman, 
220, Green, Tabby, Purple, Short, Orange, Angry, White, , Headphones, 
221, Blue, Stark, Purple, Short, Orange, Open, Blue, , , 
222, Green, Crescent, White, Small, Gray, Open, Blue, , Aviator's Cap, 
223, Yellow, Professor, Gray, Long, Gray, Open, Purple, , , 
224, Purple, Guardian, Pink, Small, Orange, Heart, Epic, , Cowboy Hat, Punk Jacket
225, Purple, Tabby, Brown, Small, Gray, Relaxed, Purple, , Skully, 
226, Yellow, Crescent, Purple, Small, Orange, Angry, Red, , Grail, 
227, Green, Professor, White, Small, Orange, Side-eye, White, , , Diamond Necklace
228, Green, Tranquil, Brown, Small, Gray, Open, Gray, , Mohawk (Green), 
229, Gray, Tranquil, Green, Small, Orange, Discerning, Blue, , , 
230, Green, Crescent, Brown, Short, Orange, Angry, Red, , , 
231, Blue, Stark, White, Short, Gray, Relaxed, Gray, , Bandana, 
232, Blue, Tranquil, Red, Short, Orange, Fire, Epic, , , 
233, Purple, Tranquil, Pink, Short, Orange, Angry, Purple, , Skully, 
234, Gray, Crescent, Black, Short, Gray, Open, Purple, , Bandana, 
235, Green, Skeleton, Bone, Long, Skeleton, , , Aviators, Diamond, 
236, Blue, Golden, Legendary Sage, Short, Golden, Open, Golden, , Bandana, 
237, Blue, Brave, Brown, Long, Gray, Fire, Epic, Monocle, , 
238, Pink, Crescent, Pink, Short, Gray, Heart, Epic, , Cowboy Hat, 
239, Pink, Stark, White, Short, Gray, Open, Purple, , Skully, 
240, Green, Crescent, Gray, Short, Gray, Relaxed, Green, , , 
241, Blue, Skeleton, Bone, Long, Skeleton, , , Visor, Space Helmet, 
242, Blue, Crescent, Brown, Short, Gray, Side-eye, Blue, Eyepatch, Wizard's Hat, 
243, Yellow, Stark, Red, Long, Orange, Adorable, Epic, , Moon Hat, 
244, Yellow, Brave, Red, Long, Gray, , , Jobs Glasses, Raincloud, 
245, Green, Professor, Green, Short, Orange, Open, Green, , Headband, 
246, Yellow, Crescent, Purple, Short, Orange, Open, Green, , , Jean Jacket
247, Pink, Crescent, Purple, Short, Gray, Open, Blue, , Tiny Crown, 
248, Purple, Stark, Brown, Small, Orange, Open, Blue, Eyepatch, Pirate's Hat, 
249, Pink, Crescent, Blue, Small, Gray, Fire, Epic, , Beanie, 
250, Purple, Stark, White, Short, Orange, Open, Red, , Crescent Talisman, 
251, Pink, Crescent, Pink, Small, Orange, Open, Blue, , Bandana, 
252, Blue, Crescent, Red, Long, Gray, , , Gazelles, Beanie, 
253, Yellow, Guardian, Pink, Short, Gray, Angry, Blue, , Cowboy Hat, Gold Chain
254, Blue, Tabby, Red, Short, Gray, Side-eye, White, , Raincloud, Hoodie Down
255, Blue, Crescent, Blue, Small, Gray, Relaxed, Purple, , Aviator's Cap, 
256, Blue, Crescent, Gray, Small, Orange, Open, Gray, , , 
257, Pink, Tranquil, Pink, Small, Orange, Side-eye, White, , Grail, 
258, Purple, Crescent, White, Short, Gray, , , Rose-Colored Glasses, Witch's Hat, 
259, Purple, Stark, Gray, Small, Orange, Relaxed, Purple, , Skully, 
260, Gray, Stark, Red, Small, Orange, Angry, Gray, , Lincoln, 
261, Gray, Skeleton, Bone, Long, Skeleton, Discerning, Skeleton, , Bucket Hat, 
262, Purple, Sage, Blue, Short, Orange, Side-eye, Gray, , , 
263, Yellow, Tranquil, Gray, Small, Gray, Discerning, Gray, , Mohawk (Pink), Bomber Jacket
264, Yellow, Crescent, Red, Small, Orange, Open, Blue, , Beanie, 
265, Green, Stark, Red, Short, Orange, Open, Blue, , , 
266, Blue, Guardian, Gray, Short, Gray, , , Sunglasses, Cowboy Hat, 
267, Blue, Guardian, Brown, Long, Gray, Open, Gray, , Tiara, 
268, Purple, Brave, Blue, Long, Gray, Angry, White, , Tiara, 
269, Gray, Crescent, Red, Short, Orange, Angry, Gray, , Halo, 
270, Pink, Tabby, Pink, Short, Gray, Side-eye, Green, , Raincloud, 
271, Pink, Crescent, White, Short, Gray, Discerning, Gray, , Lincoln, 
272, Gray, Guardian, Red, Small, Orange, Open, Red, Half-moon Spectacles, , Gold Chain
273, Pink, Guardian, Red, Long, Gray, , , Rose-Colored Glasses, , 
274, Purple, Stark, Purple, Small, Orange, , , Gazelles, Lincoln, 
275, Pink, Stark, Black, Small, Orange, Angry, Green, , Fire, 
276, Pink, Guardian, Red, Short, Gray, Side-eye, Green, , , 
277, Pink, Stark, Red, Short, Orange, Discerning, Red, , Captain's Cap, 
278, Green, Tabby, Red, Short, Gray, Open, White, , , 
279, Yellow, Crescent, Red, Small, Orange, Side-eye, Blue, , Raincloud, Hoodie
280, Purple, Crescent, Purple, Short, Orange, Angry, Purple, , Wizard's Hat, 
281, Pink, Crescent, Green, Long, Orange, Side-eye, Yellow, , Lincoln, 
282, Gray, Crescent, Red, Short, Orange, Open, Yellow, , Tiara, 
283, Green, Crescent, Purple, Short, Gray, Discerning, Gray, , Lincoln, 
284, Gray, Guardian, Brown, Small, Orange, Open, Green, , , Gold Chain
285, Purple, Crescent, Blue, Small, Orange, Discerning, White, , Beanie, 
286, Purple, Tabby, Gray, Short, Gray, Open, White, , Raincloud, 
287, Gray, Crescent, Blue, Small, Orange, Discerning, Red, , Moon Hat, 
288, Purple, Emperor, Brown, Short, Orange, Angry, Blue, , , 
289, Gray, Emperor, Green, Short, Orange, , , Aviators, , 
290, Blue, Crescent, Gray, Small, Orange, Angry, Yellow, , Pirate's Hat, Diamond Necklace
291, Purple, Brave, Blue, Small, Orange, , , Gazelles, Bow, 
292, Blue, Guardian, Red, Small, Gray, Side-eye, Gray, , , Gold Chain
293, Green, Tranquil, Gray, Small, Gray, Open, Yellow, , , Punk Jacket
294, Gray, Crescent, Purple, Small, Gray, Discerning, Yellow, , Flower, 
295, Blue, Professor, Black, Small, Orange, , , Black-rimmed Glasses, , 
296, Blue, Tabby, Brown, Short, Gray, Moon, Epic, Eyepatch, Crescent Talisman, 
297, Pink, Tabby, Black, Short, Orange, Side-eye, Gray, , , Punk Jacket
298, Yellow, Crescent, Red, Small, Gray, Side-eye, Green, , Skully, 
299, Green, Tabby, Gray, Short, Orange, Diamond, Epic, , Pirate's Hat, Bomber Jacket
300, Pink, Stark, Blue, Small, Orange, Angry, Yellow, , Captain's Cap, 
301, Green, Professor, Brown, Long, Gray, , , Sunglasses, , 
302, Gray, Brave, Black, Short, Orange, Rainbow, Epic, , Tiara, 
303, Green, Crescent, Blue, Short, Gray, Moon, Epic, Eyepatch, Mohawk (Pink), 
304, Pink, Crescent, Green, Short, Orange, Relaxed, Green, , Mohawk (Green), 
305, Pink, Crescent, Brown, Short, Orange, Open, Purple, , Beanie, Punk Jacket
306, Purple, Stark, Black, Short, Gray, Discerning, Gray, , Flower, 
307, Green, Crescent, Red, Long, Orange, Angry, White, , Aviator's Cap, 
308, Pink, Stark, Gray, Small, Orange, Open, Yellow, , Moon Hat, 
309, Pink, Crescent, Gray, Short, Gray, , , Black-rimmed Glasses, Witch's Hat, 
310, Gray, Stark, White, Long, Orange, Open, Gray, , Lincoln, 
311, Gray, Crescent, Brown, Short, Gray, , , Gazelles, Captain's Cap, 
312, Yellow, Guardian, Red, Short, Orange, Discerning, Purple, , Cowboy Hat, 
313, Gray, Professor, Brown, Short, Gray, Open, Purple, , , 
314, Pink, Stark, Brown, Small, Orange, Angry, Green, , Space Helmet, 
315, Pink, Crescent, Gray, Small, Gray, Open, Blue, , Skully, 
316, Yellow, Emperor, Green, Short, Orange, Open, Purple, , Dancing Flame, 
317, Pink, Stark, Blue, Small, Gray, Side-eye, Yellow, , , 
318, Gray, Tabby, Brown, Short, Orange, Angry, Yellow, , Backwards Hat, 
319, Blue, Crescent, Red, Short, Gray, Relaxed, Red, , Lincoln, Hoodie Down
320, Gray, Tabby, Blue, Long, Gray, , , Visor, , 
321, Green, Tabby, Gray, Small, Orange, Discerning, Red, , , 
322, Blue, Guardian, Blue, Short, Orange, Angry, Yellow, , Cowboy Hat, 
323, Green, Stark, Green, Small, Orange, Side-eye, Red, , , 
324, Pink, Guardian, Blue, Small, Orange, Angry, Green, , , 
325, Green, Skeleton, Bone, Long, Skeleton, , , Visor, Raincloud, 
326, Blue, Professor, Gray, Small, Gray, , , Sunglasses, , 
327, Purple, Stark, Black, Short, Orange, Open, Yellow, , Tiny Crown, 
328, Gray, Stark, Brown, Short, Gray, Rainbow, Epic, , Moon Hat, 
329, Green, Tranquil, Brown, Short, Orange, Open, Purple, , Tiara, 
330, Purple, Stark, Gray, Small, Orange, Side-eye, Purple, , , 
331, Yellow, Guardian, White, Short, Gray, Open, Red, , Crescent Talisman, 
332, Green, Stark, Brown, Small, Orange, Diamond, Epic, , Moon Hat, Bomber Jacket
333, Pink, Stark, Brown, Short, Orange, , , Sunglasses, , Punk Jacket
334, Green, Brave, Brown, Long, Orange, , , Aviators, , 
335, Blue, Professor, Pink, Small, Gray, Angry, Blue, , , 
336, Gray, Crescent, Purple, Small, Gray, , , Gazelles, Space Helmet, 
337, Green, Crescent, Red, Short, Gray, Moon, Epic, , Mohawk (Pink), 
338, Blue, Crescent, Red, Short, Gray, Relaxed, Yellow, , Pirate's Hat, Hoodie Down
339, Green, Stark, Pink, Short, Gray, , , Sunglasses, , Punk Jacket
340, Gray, Tabby, Black, Short, Orange, Discerning, Red, , Queen's Crown, 
341, Purple, Professor, Gray, Small, Orange, Open, White, , , 
342, Blue, Stark, Green, Short, Gray, Angry, Gray, , Tiny Crown, 
343, Blue, Tranquil, Black, Long, Orange, Angry, Purple, , Dancing Flame, Jean Jacket
344, Blue, Tranquil, Red, Small, Orange, , , Rose-Colored Glasses, Gremplin, Punk Jacket
345, Gray, Stark, Blue, Short, Gray, Moon, Epic, , Grail, 
346, Yellow, Crescent, Blue, Small, Orange, Side-eye, Blue, , Pirate's Hat, 
347, Pink, Crescent, Red, Long, Orange, Open, Blue, , Hero's Cap, Hero's Tunic
348, Pink, Tabby, Red, Short, Orange, Angry, Purple, , , 
349, Green, Crescent, Red, Short, Orange, Relaxed, Yellow, , Raincloud, 
350, Pink, Crescent, Red, Long, Orange, Discerning, Gray, , Headband, 
351, Purple, Crescent, Red, Small, Gray, Open, Gray, , Halo, 
352, Green, Tranquil, Red, Short, Gray, Discerning, Red, , Raincloud, 
353, Green, Skeleton, Bone, Short, Skeleton, Fire, Epic, Eyepatch, Wizard's Hat, 
354, Green, Tabby, Gray, Short, Orange, Angry, Blue, , , 
355, Purple, Crescent, Purple, Long, Orange, Relaxed, Blue, , Fire, 
356, Blue, Stark, Brown, Small, Orange, Discerning, Gray, Monocle, , 
357, Blue, Crescent, Blue, Short, Orange, Side-eye, Blue, , , Hoodie
358, Blue, Crescent, Gray, Short, Orange, , , Aviators, , 
